2022-11-07 03:11:35 error: [POST] /signup >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [GET] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [GET] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [POST] /login >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [POST] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [PUT] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:11:35 error: [DELETE] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:23 error: [GET] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:24 error: [GET] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:27 error: [POST] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:27 error: [PUT] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:27 error: [DELETE] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:51 error: [POST] /signup >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 03:15:52 error: [POST] /login >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:32:42 error: [POST] /signup >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:32:42 error: [POST] /login >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:34:27 error: [GET] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:34:27 error: [GET] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:34:28 error: [POST] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:34:28 error: [PUT] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:34:28 error: [DELETE] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [POST] /signup >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [GET] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [GET] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [POST] /login >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [POST] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [PUT] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:41:53 error: [DELETE] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [POST] /signup >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [GET] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [POST] /login >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [GET] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [POST] /users >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [PUT] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
2022-11-07 09:49:59 error: [DELETE] /users/1 >> StatusCode:: 500, Message:: connect ECONNREFUSED 127.0.0.1:3306
